xHandle,displayName,tier,cluster,composite_z,totalXeetsExclXeetsgiving,competitiveTournamentCount,avgDifficultyAdjustedPercentile,signalRatioAvg,cryptoCreatorXeets,multiplierBreadth,osFloorCommon,ethSaleVolume,highestSaleCommon,priceTrajectory,saleVelocity30d,ownCardsHeld,deckReachScore,followers
DailaX,Daila,Epic,0,-0.0026338612460014565,800.0245649999999,3,0.9286291636103332,0.7710186553646428,532.195357,0,0.0087,0.05289,0.005,0.0018713654966327977,6,1,0.3,24465.0
MeetAminX,Amin𝕏,Epic,0,-0.02589106794615334,1197.961337,3,0.9204659289309451,0.7525306714739696,904.477638,0,0.00109999,0.04424000000000001,0.0024,-0.0003661138444678914,15,1,0.3,6973.0
0xfs7,FS7 🌊,Legendary,1,-0.42690218088176557,2029.453643,2,0.8445708335763893,0.647478241705033,1993.966059,0,0.00367,0.051299,0.005,-0.0011137442610927874,7,1,64.7,18049.0
BlueWolfNFTs,Blue 💙🐺🐐,Epic,0,-0.9182859710642233,411.229536,2,0.8279824683423537,0.41583982845154593,358.650123,0,0.0023,0.066517,0.0015,-5.076325767512842e-05,11,1,39.9,9640.0
Frenchiee,Frenchie.moca 🇫🇷,Epic,0,-0.3696056535525861,1746.698767,5,0.906141061425118,0.4122675390769677,1246.222076,2,0.0045549,0.09254899999999999,0.0015,0.00790298794548764,6,1,1.0,13802.0
tulipxbt,tulip ✨,Epic,0,-0.34907744484933717,832.368174,6,0.903871171085091,0.43540945534861897,207.425093,1,0.00399,0.052984,0.00498,0.0006397006997493974,5,1,73.1,10648.0
GUJJUIIXI,GUJJU,Epic,0,-0.08673008069943908,1646.211406,4,0.9656462668476851,0.5254915888131173,816.073621,1,0.009,0.04468800000000001,0.005,-0.001454055517595401,8,1,86.2,5996.0
NDIDI_GRAM,HEADBOY 🦇🔊,Legendary,1,0.3853562671079181,6435.718614000001,3,0.9181544030696193,0.7760459159203585,6259.611627,0,0.0015,0.10350999999999999,0.00326,0.0005022477437166853,18,1,81.1,198557.0
RealPiffsPeak,PiffsPeak,Epic,0,-0.9314396281617593,345.501987,4,0.730688206272488,0.5552939622938831,74.967493,1,0.0025989999,0.0663439999,0.005,-0.0006225947572410551,13,1,93.9,3034.0
Telcier,Telcier,Epic,0,-0.6593619795648017,352.29262500000004,2,0.8384718261210331,0.5829389930882338,272.250109,0,0.003,0.05136,0.003,-0.0017343551402156229,8,2,56.0,9713.0
dustinvibes,dustinvibes,Epic,0,-1.647229142447979,70.64455000000001,1,0.8064985595057769,0.0,,0,,0.03339999999998,0.003,0.0021564563862811782,2,7,99.5,10034.0
CryptoArter,Arter ✳️ 🫎,Epic,0,-0.0785103758327444,838.63005,3,0.8956233553492394,0.7945755562735138,299.039915,0,0.0029,0.052569,0.003,-0.00021796601695905224,8,5,99.0,7534.0
yellowpantherx,yellowpanther 黄豹 💎,Legendary,1,-0.21678108494653192,1162.0762249999998,2,0.9273327235031008,0.6446741435957729,1074.573618,0,0.003938,0.1768279,0.02,0.006209139837694851,12,1,28.9,172945.0
sanjaybuilds_,Sanjay,Legendary,1,-0.05609122167980328,1175.080435,2,0.9421788631644805,0.7251726022859212,1029.601408,0,0.0032,0.08818000000000001,0.005,-0.000791733299677735,9,1,32.2,56823.0
0xasrequired,as required (LI.FI/Jumper),Epic,0,-0.11057823558320762,491.593557,1,0.880910155596453,0.9200413264562138,486.480619,0,0.002,0.05817,0.0018,-0.001115012185515295,15,1,15.3,4434.0
ruledout_,RuledOut xD,Epic,0,0.3987543472505771,3109.8829419999997,4,0.930717277702614,0.8879863624034686,1862.964295,0,0.001,0.12909900000000002,0.0018,0.0009625058413497029,20,1,0.3,17676.0
OUchrisNFTs,OUchris,Epic,0,-1.27391216127604,83.73940900000001,1,0.884314948468918,0.08129292345706589,,0,0.008,0.16788,0.008,-0.009425464824601121,16,6,93.6,10650.0
lokithebird,LoKi 😈,Legendary,1,0.9283615396388023,7865.045496,7,0.9231571624505374,0.896331766114387,6904.196982,0,0.0119,0.32220000000000004,0.01,0.005304786633142109,7,7,99.2,48666.0
SALAMANDER12_,SALAMANDER,Legendary,1,0.49055049467446815,3568.632461,5,0.9733541790921322,0.7784847012006926,789.661397,0,0.004,0.14728999999999998,0.02,-0.0009232597488477316,13,1,9.2,16713.0
